registro_id,tipo,titulo,autores,ano,instituicao,curso,veiculo,resumo,palavras_chaves,natureza,financiadores,texto_completo,resumo_processado,nome_topico,orientador
1,TCC,Dinâmica da Perícia Ambiental de Rio Verde - GO,Talissa Tamara Gomes,2015,IFGOIANO,Engenharia Ambiental,,,,,,Dinâmica da Perícia Ambiental de Rio Verde - GO Engenharia Ambiental,dinamica pericia ambiental verde engenharia ambiental,"Tópico 19: Gestao, Ambiental, Turismo",Haihani Silva Passos
2,TCC,A DINÂMICA DA ESTRADA DA PRODUÇÃO NO SUDOESTE GOIANO E SUA IMPORTÂNCIA PARA  O AGRONEGÓCIO,Heitor Fonseca Queiroz Pires,2021,IFGOIANO,Agronomia,,,,,,A DINÂMICA DA ESTRADA DA PRODUÇÃO NO SUDOESTE GOIANO E SUA IMPORTÂNCIA PARA O AGRONEGÓCIO Agronomia,dinamica estrada producao sudoeste goiano importancia agronegocio agronomia,"Tópico 19: Gestao, Ambiental, Turismo",Haihani Silva Passos
3,TCC,"&quot;AVALIAÇÃO DA ANATOMIA FOLIAR DE GENÓTIPOS DE TOMATEIRO E SUA INFLUÊNCIA SOBRE ASPECTOS BIOLÓGICOS DE Spodoptera eridani (Cremer, 1782) (Lepidoptera:Noctuidae)&quot;",Fabrícia Sousa Silva,2019,IFGOIANO,Agronomia,,,,,,"&quot;AVALIAÇÃO DA ANATOMIA FOLIAR DE GENÓTIPOS DE TOMATEIRO E SUA INFLUÊNCIA SOBRE ASPECTOS BIOLÓGICOS DE Spodoptera eridani (Cremer, 1782) (Lepidoptera:Noctuidae)&quot; Agronomia",quot anatomia foliar genotipos tomateiro influencia biologicos spodoptera eridani cremer lepidoptera noctuidae quot agronomia,"Tópico 15: Plantas, Biologicas, Cultura",Daline Benites Bottega
4,TCC,"EFEITO DE ÓLEO ESSENCIAL DOS FRUTOS DE XYLOPIA AROMATICA (ANNONACEAE) SOBRE ZABROTES SUBFASCIATUS (BOHEMANN) (COLEOPTERA: CHRYSOMELIDAE, BRUCHINAE)",Thais Freitas Santos,2019,IFGOIANO,Agronomia,,,,,,"EFEITO DE ÓLEO ESSENCIAL DOS FRUTOS DE XYLOPIA AROMATICA (ANNONACEAE) SOBRE ZABROTES SUBFASCIATUS (BOHEMANN) (COLEOPTERA: CHRYSOMELIDAE, BRUCHINAE) Agronomia",efeito oleo essencial frutos xylopia aromatica annonaceae zabrotes subfasciatus bohemann coleoptera chrysomelidae bruchinae agronomia,"Tópico 15: Plantas, Biologicas, Cultura",Daline Benites Bottega
5,TCC,Impacto e Manejo da Cigarrinha do Milho (Dalbulus Maidis) na Agricultura Brasileira,Luiz Fernando De Sousa Amorim,2023,IFGOIANO,Agronomia,,,,,,Impacto e Manejo da Cigarrinha do Milho (Dalbulus Maidis) na Agricultura Brasileira Agronomia,impacto manejo cigarrinha milho dalbulus maidis agricultura agronomia,"Tópico 15: Plantas, Biologicas, Cultura",Daline Benites Bottega
6,TCC,AVALIAÇÃO DA INCIDÊNCIA DE CERCOSPORIOSE EM BETERRABA UTILIZANDO DIFERENTES MANEJOS,Dyeniffer Soares Costa,2024,IFGOIANO,Agronomia,,,,,,AVALIAÇÃO DA INCIDÊNCIA DE CERCOSPORIOSE EM BETERRABA UTILIZANDO DIFERENTES MANEJOS Agronomia,incidencia cercosporiose beterraba manejos agronomia,"Tópico 15: Plantas, Biologicas, Cultura",Daline Benites Bottega
7,TCC,Gestão estratégica em organizações não governamentais: a adoção de ferramentas estratégicas pela Agrotec,Antônio Carlos Da Costa,2015,IFGOIANO,Superior De Tecnologia Em Agronegócio,,,,,,Gestão estratégica em organizações não governamentais: a adoção de ferramentas estratégicas pela Agrotec Superior De Tecnologia Em Agronegócio,gestao estrategica organizacoes governamentais adocao ferramentas estrategicas agrotec tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
8,TCC,Gestão Estratégica em propriedade rural familiar: o caso da Fazenda Jacuba,Ricardo Borges Rodrigues De Freitas,2016,IFGOIANO,Superior De Tecnologia Em Agronegócio,,,,,,Gestão Estratégica em propriedade rural familiar: o caso da Fazenda Jacuba Superior De Tecnologia Em Agronegócio,gestao estrategica propriedade rural familiar fazenda jacuba tecnologia agronegocio,"Tópico 16: Desenvolvimento, Tecnologia, Inovacao",Maria Gláucia Dourado Furquim
9,TCC,Caracterização da Gestão de Pessoas na Propriedade Alexina Maria II no município de Ivolândia-GO,Carolina Bernardes Santos,2016,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Caracterização da Gestão de Pessoas na Propriedade Alexina Maria II no município de Ivolândia-GO Tecnologia Em Agronegócio,caracterizacao gestao pessoas propriedade alexina maria ivolandia tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
10,TCC,Os desafios do processo sucessório: o caso de uma fazenda X no município de Diorama-GO,Neto Barbosa Da Silva,2016,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Os desafios do processo sucessório: o caso de uma fazenda X no município de Diorama-GO Tecnologia Em Agronegócio,desafios sucessorio fazenda diorama tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
11,TCC,Processo de gestão denominado Benchmarking - Identificação e adoção das melhores práticas para implantação e manejo de hortas domésticas,Lucília Alexandre De Lima E Silva,2016,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Processo de gestão denominado Benchmarking - Identificação e adoção das melhores práticas para implantação e manejo de hortas domésticas Tecnologia Em Agronegócio,gestao denominado benchmarking adocao melhores praticas implantacao manejo hortas domesticas tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
12,TCC,Aspectos motivacionais que influenciam a adesão e permanência em atividades de voluntariado em organização de Iporá-GO,Neusimar Vargas Pinheiro Oliveira,2016,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Aspectos motivacionais que influenciam a adesão e permanência em atividades de voluntariado em organização de Iporá-GO Tecnologia Em Agronegócio,motivacionais influenciam adesao permanencia atividades voluntariado organizacao ipora tecnologia agronegocio,"Tópico 16: Desenvolvimento, Tecnologia, Inovacao",Maria Gláucia Dourado Furquim
13,TCC,Planejamento e gestão estratégica em revenda agropecuária: o caso de uma empresa do setor em Montes Claros de Goiás,Clezia Monique Alves Cardoso,2017,IFGOIANO,Técnico Em Agropecuária Integrado Ao Ensino Médio,,,,,,Planejamento e gestão estratégica em revenda agropecuária: o caso de uma empresa do setor em Montes Claros de Goiás Técnico Em Agropecuária Integrado Ao Ensino Médio,planejamento gestao estrategica revenda agropecuaria empresa montes claros agropecuaria integrado,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
14,TCC,"Diagnóstico das políticas públicas acessadas e seus efeitos na cooperativa COOMAFIR, em Iporá-go",Ana Carolina Henrique Feitoza,2017,IFGOIANO,Superior De Tecnologia Em Agronegócio,,,,,,"Diagnóstico das políticas públicas acessadas e seus efeitos na cooperativa COOMAFIR, em Iporá-go Superior De Tecnologia Em Agronegócio",diagnostico politicas publicas acessadas efeitos cooperativa coomafir ipora tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
15,TCC,Gestão de Pessoas no setor público e a teoria dos dois fatores de Herzberg,Adriene Silva Andrade,2017,IFGOIANO,Superior De Tecnologia Em Agronegócio,,,,,,Gestão de Pessoas no setor público e a teoria dos dois fatores de Herzberg Superior De Tecnologia Em Agronegócio,gestao pessoas publico teoria dois fatores herzberg tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
16,TCC,A utilização do benchmarking como ferramenta para estruturação de um centro de comercialização de hortifruti em Iporá-GO,Liliana Santos Silva De Queiros,2017,IFGOIANO,Superior De Tecnologia Em Agronegócio,,,,,,A utilização do benchmarking como ferramenta para estruturação de um centro de comercialização de hortifruti em Iporá-GO Superior De Tecnologia Em Agronegócio,benchmarking estruturacao comercializacao hortifruti ipora tecnologia agronegocio,"Tópico 16: Desenvolvimento, Tecnologia, Inovacao",Maria Gláucia Dourado Furquim
17,TCC,A dinâmica da sucessão geracional na agricultura familiar: o caso da Fazenda Guardamorzinho em Jaupaci-GO,Letícia Arruda De Oliveira,2017,IFGOIANO,Superior De Tecnologia Em Agronegócio,,,,,,A dinâmica da sucessão geracional na agricultura familiar: o caso da Fazenda Guardamorzinho em Jaupaci-GO Superior De Tecnologia Em Agronegócio,dinamica sucessao geracional agricultura familiar fazenda guardamorzinho jaupaci tecnologia agronegocio,"Tópico 14: Comunidade, Extensao, Extensao none",Maria Gláucia Dourado Furquim
18,TCC,Produção de soja na microrregião de Iporá: um estudo de caso à luz da abordagem estratégica,Samuel Da Silveira Lima,2022,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Produção de soja na microrregião de Iporá: um estudo de caso à luz da abordagem estratégica Tecnologia Em Agronegócio,producao soja microrregiao ipora luz estrategica tecnologia agronegocio,"Tópico 8: Producao, Sementes, Animais",Maria Gláucia Dourado Furquim
19,TCC,Gestão e controle de estoque em loja agropecuária localizada em Palestina-GO: um estudo de caso,Vanessa Lorrane Sousa,2022,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Gestão e controle de estoque em loja agropecuária localizada em Palestina-GO: um estudo de caso Tecnologia Em Agronegócio,gestao estoque loja agropecuaria localizada palestina tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
20,TCC,Diagnóstico estratégico da propriedade X no município de Cumaru do Norte - PA: análise do modelo de gestão a partir de um estudo de caso único,Andressa Aparecida Sousa Oliveira,2023,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Diagnóstico estratégico da propriedade X no município de Cumaru do Norte - PA: análise do modelo de gestão a partir de um estudo de caso único Tecnologia Em Agronegócio,diagnostico estrategico propriedade cumaru gestao unico tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
21,TCC,Ações ambientais com foco na gestão de resíduos sólidos urbanos: um estudo de caso no município de Palestina de Goiás-GO,Magbis Almeida Mendes De Jesus,2023,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Ações ambientais com foco na gestão de resíduos sólidos urbanos: um estudo de caso no município de Palestina de Goiás-GO Tecnologia Em Agronegócio,ambientais gestao residuos solidos urbanos palestina tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
22,TCC,Estado da arte da pesquisa em sistema de irrigação tipo pivô central no estado de Goiás,Manoel Carlos Oliveira De Rezende Júnior,2023,IFGOIANO,Agronomia,,,,,,Estado da arte da pesquisa em sistema de irrigação tipo pivô central no estado de Goiás Agronomia,estado arte irrigacao tipo pivo central estado agronomia,"Tópico 15: Plantas, Biologicas, Cultura",Maria Gláucia Dourado Furquim
23,TCC,Custos de confinamento de bovinos de corte no município de Caiapônia-GO: um estudo de caso único,Gustavo Moraes De Abreu Bernardes,2024,IFGOIANO,Agronomia,,,,,,Custos de confinamento de bovinos de corte no município de Caiapônia-GO: um estudo de caso único Agronomia,custos confinamento bovinos corte caiaponia unico agronomia,"Tópico 8: Producao, Sementes, Animais",Maria Gláucia Dourado Furquim
24,TCC,Produção de soja no município de Paraúna-GO: um estudo de caso único numa perspectiva estratégica,Rayane De Jesus Costa,2023,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Produção de soja no município de Paraúna-GO: um estudo de caso único numa perspectiva estratégica Tecnologia Em Agronegócio,producao soja parauna unico estrategica tecnologia agronegocio,"Tópico 0: Producao, Alimentos, Produtos",Maria Gláucia Dourado Furquim
25,TCC,Viveiro municipal de Diorama-GO: estratégia de apoio à promoção da preservação ambiental,Reber Benta De Souza,2023,IFGOIANO,Agronegócio,,,,,,Viveiro municipal de Diorama-GO: estratégia de apoio à promoção da preservação ambiental Agronegócio,viveiro diorama apoio promocao preservacao ambiental agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
26,TCC,Viveiro municipal de Diorama-GO: um estudo aplicado da produção à distribuição de mudas,Marinna Vitória Dos Santos Silva,2024,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Viveiro municipal de Diorama-GO: um estudo aplicado da produção à distribuição de mudas Tecnologia Em Agronegócio,viveiro diorama producao distribuicao mudas tecnologia agronegocio,"Tópico 8: Producao, Sementes, Animais",Maria Gláucia Dourado Furquim
27,TCC,Estratégias de marketing possíveis de serem adotadas na atividade apícola: um estudo de caso na APIJAN,Karinny Martins Telesse,2024,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Estratégias de marketing possíveis de serem adotadas na atividade apícola: um estudo de caso na APIJAN Tecnologia Em Agronegócio,marketing serem adotadas atividade apicola apijan tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
28,TCC,Estratégia de marketing digital em uma castanheira: elaboração de um plano de ação,Luma Karen Barbosa Farias,2024,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Estratégia de marketing digital em uma castanheira: elaboração de um plano de ação Tecnologia Em Agronegócio,marketing digital castanheira plano acao tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
29,TCC,Diagnóstico das atividades práticas desenvolvidas na Fazenda Escola do IF Goiano Campus Iporá,Dennis David Santana Da Silva,2024,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Diagnóstico das atividades práticas desenvolvidas na Fazenda Escola do IF Goiano Campus Iporá Tecnologia Em Agronegócio,diagnostico atividades praticas desenvolvidas fazenda escola goiano ipora tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
30,TCC,Análise descritiva do modelo de gestão adotado na propriedade x situada no município de Jaupaci-GO,Rogério Carvalho Diniz,2024,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Análise descritiva do modelo de gestão adotado na propriedade x situada no município de Jaupaci-GO Tecnologia Em Agronegócio,descritiva gestao adotado propriedade situada jaupaci tecnologia agronegocio,"Tópico 16: Desenvolvimento, Tecnologia, Inovacao",Maria Gláucia Dourado Furquim
31,TCC,Desafios e Perspectivas da COOPERCAP a luz da gestão estratégica,Denismaikon De Almeida Ferreira,2024,IFGOIANO,Tecnologia Em Agronegócio,,,,,,Desafios e Perspectivas da COOPERCAP a luz da gestão estratégica Tecnologia Em Agronegócio,desafios coopercap luz gestao estrategica tecnologia agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
32,TCC,Descrição do Processo de Inseminação Artificial em Tempo Fixo (IATF) na Produção Leiteira: um estudo de caso em Iporá-GO,Lara Leticia Uliana Resende,2025,IFGOIANO,Tecnologia Em Gestão Do Agronegócio,,,,,,Descrição do Processo de Inseminação Artificial em Tempo Fixo (IATF) na Produção Leiteira: um estudo de caso em Iporá-GO Tecnologia Em Gestão Do Agronegócio,descricao inseminacao artificial tempo fixo iatf producao leiteira ipora tecnologia gestao agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
33,TCC,Os produtos da sociobiodiversidade do cerrado goiano e suas principais espécies com potencial econômico,Orlanda José Dos Santos,2025,IFGOIANO,Tecnologia Em Gestão Do Agronegócio,,,,,,Os produtos da sociobiodiversidade do cerrado goiano e suas principais espécies com potencial econômico Tecnologia Em Gestão Do Agronegócio,produtos sociobiodiversidade cerrado goiano principais especies potencial economico tecnologia gestao agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
34,TCC,Relatório Profissional no Programa Superação Agro Rio Grande do Sul,Welington José Da Costa Silva Júnior,2025,IFGOIANO,Tecnologia Em Gestão Do Agronegócio,,,,,,Relatório Profissional no Programa Superação Agro Rio Grande do Sul Tecnologia Em Gestão Do Agronegócio,relatorio programa superacao agro grande tecnologia gestao agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
35,TCC,Apicultura Básica: uma revisão de literatura orientada por questões norteadoras para públicos não especializados,Dion Wender Faria Silva,2025,IFGOIANO,Tecnologia Em Gestão Do Agronegócio,,,,,,Apicultura Básica: uma revisão de literatura orientada por questões norteadoras para públicos não especializados Tecnologia Em Gestão Do Agronegócio,apicultura basica revisao literatura orientada questoes norteadoras publicos especializados tecnologia gestao agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
36,TCC,Boas Práticas de Fabricação (BPF) Aplicadas ao Processamento da Castanha-do-Brasil: um estudo de caso em Iporá-GO,Simone Da Costa Novais Ferreira,2025,IFGOIANO,Tecnologia Em Gestão Do Agronegócio,,,,,,Boas Práticas de Fabricação (BPF) Aplicadas ao Processamento da Castanha-do-Brasil: um estudo de caso em Iporá-GO Tecnologia Em Gestão Do Agronegócio,boas praticas fabricacao bpf aplicadas processamento castanha ipora tecnologia gestao agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
37,TCC,"Estrutura, Atuação e Relevância do Sindicato Rural de Iporá, Diorama, Israelândia e Amorinópolis no Fortalecimento do Agronegócio Local",Tiago Oliveira Santos,2025,IFGOIANO,Tecnologia Em Gestão Do Agronegócio,,,,,,"Estrutura, Atuação e Relevância do Sindicato Rural de Iporá, Diorama, Israelândia e Amorinópolis no Fortalecimento do Agronegócio Local Tecnologia Em Gestão Do Agronegócio",estrutura atuacao relevancia sindicato rural ipora diorama israelandia amorinopolis fortalecimento agronegocio local tecnologia gestao agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
38,TCC,Agroextrativismo e Cadeias da Sociobiodiversidade no Cerrado: elaboração de um catálogo econômico de espécies nativas,Vitória Aparecida De Oliveira Moreira,2025,IFGOIANO,Tecnologia Em Gestão Do Agronegócio,,,,,,Agroextrativismo e Cadeias da Sociobiodiversidade no Cerrado: elaboração de um catálogo econômico de espécies nativas Tecnologia Em Gestão Do Agronegócio,agroextrativismo cadeias sociobiodiversidade cerrado catalogo economico especies nativas tecnologia gestao agronegocio,"Tópico 19: Gestao, Ambiental, Turismo",Maria Gláucia Dourado Furquim
39,TCC,Análise da Resistência em Tijolos de solo-cimento com adição de cinzas de lodo de esgoto,Roger Lima Barbosa,2018,IFGOIANO,Engenharia Civil,,,,,,Análise da Resistência em Tijolos de solo-cimento com adição de cinzas de lodo de esgoto Engenharia Civil,resistencia tijolos solo cimento adicao cinzas lodo esgoto engenharia civil,"Tópico 0: Producao, Alimentos, Produtos",Bruno De Oliveira Costa Couto
40,TCC,Fossa de Bananeira: um tratamento natural,Daniel Cândido De Souza,2018,IFGOIANO,Engenharia Ambiental,,,,,,Fossa de Bananeira: um tratamento natural Engenharia Ambiental,fossa bananeira tratamento natural engenharia ambiental,"Tópico 9: Agua, Qualidade, Recursos",Bruno De Oliveira Costa Couto
41,TCC,Variabilidade qualitativa da água pluvial em função de dois sistemas de captação,Danieley Karen Matias Alves,2018,IFGOIANO,Engenharia Ambiental,,,,,,Variabilidade qualitativa da água pluvial em função de dois sistemas de captação Engenharia Ambiental,variabilidade qualitativa agua pluvial dois captacao engenharia ambiental,"Tópico 9: Agua, Qualidade, Recursos",Bruno De Oliveira Costa Couto
42,TCC,Tanques de Aguapés em Sistemas de Tratamento de Esgotos Individual,Lucas Martins Borges,2018,IFGOIANO,Engenharia Civil,,,,,,Tanques de Aguapés em Sistemas de Tratamento de Esgotos Individual Engenharia Civil,tanques aguapes tratamento esgotos individual engenharia civil,"Tópico 10: Estudantes, Cientifica, None",Bruno De Oliveira Costa Couto
43,TCC,Diagnóstico quali-quantitativo dos resíduos sólidos gerados no município de Rio Verde-GO,Ananda Ferreira De Oliveira,2018,IFGOIANO,Engenharia Ambiental,,,,,,Diagnóstico quali-quantitativo dos resíduos sólidos gerados no município de Rio Verde-GO Engenharia Ambiental,diagnostico quali quantitativo residuos solidos gerados verde engenharia ambiental,"Tópico 19: Gestao, Ambiental, Turismo",Bruno De Oliveira Costa Couto
44,TCC,Analise de práticas sustentáveis e viabilidade financeira para uma casa popular no Municipio de Rio Verde,Ingrid Michelle Borges,2023,IFGOIANO,Engenharia Ambiental,,,,,,Analise de práticas sustentáveis e viabilidade financeira para uma casa popular no Municipio de Rio Verde Engenharia Ambiental,praticas sustentaveis viabilidade financeira casa verde engenharia ambiental,"Tópico 19: Gestao, Ambiental, Turismo",Bruno De Oliveira Costa Couto
45,TCC,Estudo da implementação do sistema de gestão ambiental em uma oficina mecânica no município de Rio Verde - GO,Vitória Kelly De Lemos,2021,IFGOIANO,Engenharia Ambiental,,,,,,Estudo da implementação do sistema de gestão ambiental em uma oficina mecânica no município de Rio Verde - GO Engenharia Ambiental,implementacao gestao ambiental oficina mecanica verde engenharia ambiental,"Tópico 19: Gestao, Ambiental, Turismo",Bruno De Oliveira Costa Couto
46,TCC,POTENCIAL DE RECICLAGEM DOS RESÍDUOS DE CONSTRUÇÃO CIVIL E DEMOLIÇÃO DE RIO VERDE - GO,Murilo Henrique De Sousa Resende,2023,IFGOIANO,Engenharia Ambiental,,,,,,POTENCIAL DE RECICLAGEM DOS RESÍDUOS DE CONSTRUÇÃO CIVIL E DEMOLIÇÃO DE RIO VERDE - GO Engenharia Ambiental,potencial reciclagem residuos construcao civil demolicao verde engenharia ambiental,"Tópico 19: Gestao, Ambiental, Turismo",Bruno De Oliveira Costa Couto
47,TCC,"Estudo de caso baseado na análise processual do licenciamento ambiental de um posto revendedor de combustíveis localizado em Rio Verde, Goiás",Maria Eduarda Guimarães Guerreiro,2024,IFGOIANO,Engenharia Ambiental,,,,,,"Estudo de caso baseado na análise processual do licenciamento ambiental de um posto revendedor de combustíveis localizado em Rio Verde, Goiás Engenharia Ambiental",processual licenciamento ambiental posto revendedor combustiveis localizado verde engenharia ambiental,"Tópico 19: Gestao, Ambiental, Turismo",Bruno De Oliveira Costa Couto
48,TCC,A Geração de Energias Renováveis em Aterros Sanitários: Biogás e Solar Fotovoltaica,Gabrielle Aparecida Arantes Martins,2025,IFGOIANO,Engenharia Ambiental,,,,,,A Geração de Energias Renováveis em Aterros Sanitários: Biogás e Solar Fotovoltaica Engenharia Ambiental,geracao energias renovaveis aterros sanitarios biogas solar fotovoltaica engenharia ambiental,"Tópico 12: Desenvolvimento, Energia, Dados",Bruno De Oliveira Costa Couto
49,TCC,"ESTRATÉGIAS PARA O GERENCIMENTO SUSTENTÁVEL DE RESÍDUOS ELETRÔNICOS: estudo de caso na Universidade Estadual de Goiás (UEG), Unidade Universitária de Santa Helena de Goiás",Mariana Oliveira Soldera,2023,IFGOIANO,Engenharia Ambiental,,,,,,"ESTRATÉGIAS PARA O GERENCIMENTO SUSTENTÁVEL DE RESÍDUOS ELETRÔNICOS: estudo de caso na Universidade Estadual de Goiás (UEG), Unidade Universitária de Santa Helena de Goiás Engenharia Ambiental",gerencimento sustentavel residuos eletronicos ueg unidade universitaria helena engenharia ambiental,"Tópico 19: Gestao, Ambiental, Turismo",Bruno De Oliveira Costa Couto
50,TCC,ESTRESSE HÍDRICO EM TOMATEIRO MUTANTE FOTOMORFOGÊNICO,Karla Da Silva Carneiro,2013,IFGOIANO,Licenciatura Em Ciências Biológicas,,,,,,ESTRESSE HÍDRICO EM TOMATEIRO MUTANTE FOTOMORFOGÊNICO Licenciatura Em Ciências Biológicas,estresse hidrico tomateiro mutante fotomorfogenico ciencias biologicas,"Tópico 15: Plantas, Biologicas, Cultura",Cleiton Mateus Sousa
51,TCC,ENRAIZAMENTO DE ESTACAS CAULINARES DE IXORA (Ixora coccinea L.),Jéssica Kelly De Melo,2013,IFGOIANO,Licenciatura Em Ciências Biológicas,,,,,,ENRAIZAMENTO DE ESTACAS CAULINARES DE IXORA (Ixora coccinea L.) Licenciatura Em Ciências Biológicas,enraizamento estacas caulinares ixora ixora coccinea ciencias biologicas,"Tópico 15: Plantas, Biologicas, Cultura",Cleiton Mateus Sousa
52,TCC,CRESCIMENTO DE BROMÉLIAS EM SUBSTRATO ENRIQUECIDO COM FERTILIZANTE ORGANOMINERAL,José Carlos Dos Santos Júnior,2018,IFGOIANO,Agronomia,,,,,,CRESCIMENTO DE BROMÉLIAS EM SUBSTRATO ENRIQUECIDO COM FERTILIZANTE ORGANOMINERAL Agronomia,crescimento bromelias substrato enriquecido fertilizante organomineral agronomia,"Tópico 15: Plantas, Biologicas, Cultura",Cleiton Mateus Sousa
53,TCC,ESTABELECIMENTO IN VITRO DE Brosimum gaudichaudii TRÉC. (MORACEAE),Érica Letícia Gomes Costa,2017,IFGOIANO,Licenciatura Em Ciências Biológicas,,,,,,ESTABELECIMENTO IN VITRO DE Brosimum gaudichaudii TRÉC. (MORACEAE) Licenciatura Em Ciências Biológicas,estabelecimento vitro brosimum gaudichaudii trec moraceae ciencias biologicas,"Tópico 15: Plantas, Biologicas, Cultura",Cleiton Mateus Sousa
54,TCC,"AVALIAÇÃO DO CRESCIMENTO INICIAL DE DIFERENTES ESPÉCIES UTILIZADAS NA RECUPERAÇÃO DE MATA CILIAR NO RIO DAS ALMAS, MUNICÍPIO DE CERES, GOIÁS",Cristiele Dos Santos Souza,2016,IFGOIANO,Licenciatura Em Ciências Biológicas,,,,,,"AVALIAÇÃO DO CRESCIMENTO INICIAL DE DIFERENTES ESPÉCIES UTILIZADAS NA RECUPERAÇÃO DE MATA CILIAR NO RIO DAS ALMAS, MUNICÍPIO DE CERES, GOIÁS Licenciatura Em Ciências Biológicas",crescimento inicial especies utilizadas recuperacao mata ciliar almas ceres ciencias biologicas,"Tópico 15: Plantas, Biologicas, Cultura",Cleiton Mateus Sousa
55,TCC,DISSIMILARIDADE GENÉTICA ENTRE GENÓTIPOS DE CAFEEIROS IRRIGADOS NAS CONDIÇÕES EDAFOCLIMÁTICAS DE CERES - GO,Marcos Gonçalves Da Silveira,2017,IFGOIANO,Licenciatura Em Ciências Biológicas,,,,,,DISSIMILARIDADE GENÉTICA ENTRE GENÓTIPOS DE CAFEEIROS IRRIGADOS NAS CONDIÇÕES EDAFOCLIMÁTICAS DE CERES - GO Licenciatura Em Ciências Biológicas,dissimilaridade genetica genotipos cafeeiros irrigados condicoes edafoclimaticas ceres ciencias biologicas,"Tópico 15: Plantas, Biologicas, Cultura",Cleiton Mateus Sousa
56,TCC,Germinação e Multiplicação in vitro da Bromélia Dyckia goehringii,Angela Cristina Ferreira,2018,IFGOIANO,Licenciatura Em Ciências Biológicas,,,,,,Germinação e Multiplicação in vitro da Bromélia Dyckia goehringii Licenciatura Em Ciências Biológicas,germinacao multiplicacao vitro bromelia dyckia goehringii ciencias biologicas,"Tópico 15: Plantas, Biologicas, Cultura",Cleiton Mateus Sousa
57,TCC,TROCAS GASOSAS DE CAFEEIROS EM DIFERENTES ESTÁDIOS FENOLÓGICOS,Vinícius Gonçalves Almeida,2019,IFGOIANO,Agronomia,,,,,,TROCAS GASOSAS DE CAFEEIROS EM DIFERENTES ESTÁDIOS FENOLÓGICOS Agronomia,trocas gasosas cafeeiros estadios fenologicos agronomia,"Tópico 15: Plantas, Biologicas, Cultura",Cleiton Mateus Sousa
