registro_id,tipo,titulo,autores,ano,instituicao,curso,veiculo,resumo,palavras_chaves,natureza,financiadores,texto_completo,resumo_processado,id_topico,nome_topico,n_topicos_modelo,orientador,tipo_arquivo
1,Projeto,Impressora 3D para metais utilizando manufatura aditiva por fusão seletiva a laser,Giuliano Gonçalves De Souza,,IFB,,,"A manufatura aditiva por Fusão Seletiva a Laser (FSL) ou em inglês Selective Laser Melting (LSM), é uma técnica de fabricação que possibilita a concepção de peças complexas, metálicas ou poliméricas, a partir da adição de camadas consecutivas de pó (material de adição), que são adicionadas à peça pelo processo de fusão localizada por feixe laser. Após a adição da camada de pó, o laser varre a superfície, fundindo-a  em áreas predefinidas pelo software de controle do cabeçote laser. &#10;Neste trabalho será desenvolvido e fabricado uma máquina de manufatura aditiva que utiliza fusão seletiva a laser. O projeto está dividido em 6 sistemas; o sistema mecânico, que é composto por câmara de atmosfera controlada e mecanismos; o sistema energético, composto por cabeçote laser e sistema de controle de temperatura e pressão; o sistema de informação, composto por hardwares e softwares de gerenciamento da posição e da potência do laser; sistema de sensoriamento, que é responsável pela medição dos parâmetros do processo; sistema de atuação, que manipula os parâmetros do processo e o por fim; o sistema de controle, que gerencia o processo a partir de parâmetros pré definidos.&#10;O desenvolvimento desse equipamento de fusão seletiva a laser, possibilitará o inicio da pesquisa em manufatura aditiva, no Instituto Federal do Espírito Santo, pois o equipamento será construído de forma a possibilitar a variação dos parâmetros de fabricação, tais como, pressão, temperatura, composição química da atmosfera, material de adição, espessura e geometria da camada fundida, aporte térmico e a própria geometria da peça a ser fabricada.",,PESQUISA,,"Impressora 3D para metais utilizando manufatura aditiva por fusão seletiva a laser A manufatura aditiva por Fusão Seletiva a Laser (FSL) ou em inglês Selective Laser Melting (LSM), é uma técnica de fabricação que possibilita a concepção de peças complexas, metálicas ou poliméricas, a partir da adição de camadas consecutivas de pó (material de adição), que são adicionadas à peça pelo processo de fusão localizada por feixe laser. Após a adição da camada de pó, o laser varre a superfície, fundindo-a em áreas predefinidas pelo software de controle do cabeçote laser. Neste trabalho será desenvolvido e fabricado uma máquina de manufatura aditiva que utiliza fusão seletiva a laser. O projeto está dividido em 6 sistemas; o sistema mecânico, que é composto por câmara de atmosfera controlada e mecanismos; o sistema energético, composto por cabeçote laser e sistema de controle de temperatura e pressão; o sistema de informação, composto por hardwares e softwares de gerenciamento da posição e da potência do laser; sistema de sensoriamento, que é responsável pela medição dos parâmetros do processo; sistema de atuação, que manipula os parâmetros do processo e o por fim; o sistema de controle, que gerencia o processo a partir de parâmetros pré definidos. O desenvolvimento desse equipamento de fusão seletiva a laser, possibilitará o inicio da pesquisa em manufatura aditiva, no Instituto Federal do Espírito Santo, pois o equipamento será construído de forma a possibilitar a variação dos parâmetros de fabricação, tais como, pressão, temperatura, composição química da atmosfera, material de adição, espessura e geometria da camada fundida, aporte térmico e a própria geometria da peça a ser fabricada.",impressora metais manufatura aditiva fusao seletiva laser manufatura aditiva fusao seletiva laser fsl ingles selective laser melting lsm fabricacao possibilita concepcao pecas complexas metalicas polimericas adicao camadas consecutivas adicao adicionadas peca fusao localizada feixe laser adicao camada laser varre superficie fundindo predefinidas software cabecote laser neste desenvolvido fabricado maquina manufatura aditiva utiliza fusao seletiva laser dividido mecanico composto camara atmosfera controlada mecanismos energetico composto cabecote laser temperatura pressao composto hardwares softwares gerenciamento posicao potencia laser sensoriamento responsavel medicao parametros atuacao manipula parametros fim gerencia parametros pre definidos desenvolvimento desse equipamento fusao seletiva laser possibilitara inicio manufatura aditiva santo pois equipamento construido possibilitar variacao parametros fabricacao tais pressao temperatura composicao quimica atmosfera adicao espessura geometria camada fundida aporte termico propria geometria peca fabricada,0,"Projeto - Tópico 0: Dados, Analise, Energia",9,,Projeto
2,Projeto,Robô Submarino Bioinspirado,Giuliano Gonçalves De Souza,,IFB,,,"A Biomimética é uma área da ciência que tem por objetivo o estudo das estruturas biológicas e das suas funções, procurando aprender com a natureza, suas estratégias e soluções, e utilizar esse conhecimento em diferentes domínios da ciência e engenharia. A tartaruga é um animal que nada suavemente e consegue atingir longas distâncias e por isso tem sido inspiração para o projeto de robôs submarinos autônomos.&#10;O principal objetivo desse trabalho e desenvolver um robô bioinspirado em tartaruga marinha, para monitoramento autônomo dos Oceanos. Para atingir esse objetivo, será necessário estudar o modelo vivo (tartaruga); modelar, projetar e construir o sistema. Para facilitar a fabricação dos sistemas mecânicos será utilizada a Impressão 3D em plástico ABS.",,DESENVOLVIMENTO,,"Robô Submarino Bioinspirado A Biomimética é uma área da ciência que tem por objetivo o estudo das estruturas biológicas e das suas funções, procurando aprender com a natureza, suas estratégias e soluções, e utilizar esse conhecimento em diferentes domínios da ciência e engenharia. A tartaruga é um animal que nada suavemente e consegue atingir longas distâncias e por isso tem sido inspiração para o projeto de robôs submarinos autônomos. O principal objetivo desse trabalho e desenvolver um robô bioinspirado em tartaruga marinha, para monitoramento autônomo dos Oceanos. Para atingir esse objetivo, será necessário estudar o modelo vivo (tartaruga); modelar, projetar e construir o sistema. Para facilitar a fabricação dos sistemas mecânicos será utilizada a Impressão 3D em plástico ABS.",robo submarino bioinspirado biomimetica area estruturas biologicas funcoes procurando aprender natureza solucoes utilizar conhecimento dominios engenharia tartaruga animal nada suavemente consegue atingir longas distancias sido inspiracao robos submarinos autonomos principal desse desenvolver robo bioinspirado tartaruga marinha monitoramento autonomo oceanos atingir necessario estudar vivo tartaruga modelar projetar construir facilitar fabricacao mecanicos utilizada impressao plastico abs,1,"Projeto - Tópico 1: Desenvolvimento, Aprendizagem, Matematica",9,,Projeto
3,Projeto,Sistema de Manufatura Aditiva por Fusão seletiva a Laser,Giuliano Gonçalves De Souza,,IFB,,,"A manufatura aditiva por Fusão Seletiva a Laser FSL ou LSM (Selective Laser Melting) em inglês, é uma técnica de fabricação que possibilita a concepção de peças complexar, pois o processo consiste em adiciona finas camadas de materiais de adição com geometria plana de alta complexidade, sendo que a camada é agregada à peça por fusão localizada com o auxilio de um cabeçote a laser de fibra, que possibilita a fusão de pequenas áreas.&#10;Neste trabalho será desenvolvido uma máquina de manufatura aditiva que utiliza fusão seletiva a laser. O projeto está dividido em 6 sistemas; o sistema mecânico, que é composto por câmara de atmosfera controlada e mecanismos; o sistema energético, composto por cabeçote laser e sistema de controle de temperatura e pressão; o sistema de informação, composto por hardwares e softwares de gerenciamento da posição e potência do laser; sistema de sensoriamento, que é responsável pela medição dos parâmetros do processo; sistema de atuação, que manipula os parâmetros do processo e o por fim; o sistema de controle, que gerencia o processo a partir de parâmetros pré definidos.&#10;O desenvolvimento desse equipamento de fusão seletiva a laser, possibilitará o inicio da pesquisa de novas técnicas de fabricação, pois o equipamento será construído de forma a possibilitar a variação dos parâmetros de fabricação, tais como, pressão, temperatura, química da atmosfera, material adicionado, espessura e geometria da camada fundida, aporte térmico e dinâmica do laser e a própria geometria da peça a ser fabricada.",,DESENVOLVIMENTO,,"Sistema de Manufatura Aditiva por Fusão seletiva a Laser A manufatura aditiva por Fusão Seletiva a Laser FSL ou LSM (Selective Laser Melting) em inglês, é uma técnica de fabricação que possibilita a concepção de peças complexar, pois o processo consiste em adiciona finas camadas de materiais de adição com geometria plana de alta complexidade, sendo que a camada é agregada à peça por fusão localizada com o auxilio de um cabeçote a laser de fibra, que possibilita a fusão de pequenas áreas. Neste trabalho será desenvolvido uma máquina de manufatura aditiva que utiliza fusão seletiva a laser. O projeto está dividido em 6 sistemas; o sistema mecânico, que é composto por câmara de atmosfera controlada e mecanismos; o sistema energético, composto por cabeçote laser e sistema de controle de temperatura e pressão; o sistema de informação, composto por hardwares e softwares de gerenciamento da posição e potência do laser; sistema de sensoriamento, que é responsável pela medição dos parâmetros do processo; sistema de atuação, que manipula os parâmetros do processo e o por fim; o sistema de controle, que gerencia o processo a partir de parâmetros pré definidos. O desenvolvimento desse equipamento de fusão seletiva a laser, possibilitará o inicio da pesquisa de novas técnicas de fabricação, pois o equipamento será construído de forma a possibilitar a variação dos parâmetros de fabricação, tais como, pressão, temperatura, química da atmosfera, material adicionado, espessura e geometria da camada fundida, aporte térmico e dinâmica do laser e a própria geometria da peça a ser fabricada.",manufatura aditiva fusao seletiva laser manufatura aditiva fusao seletiva laser fsl lsm selective laser melting ingles fabricacao possibilita concepcao pecas complexar pois consiste adiciona finas camadas materiais adicao geometria plana alta complexidade sendo camada agregada peca fusao localizada auxilio cabecote laser fibra possibilita fusao pequenas neste desenvolvido maquina manufatura aditiva utiliza fusao seletiva laser dividido mecanico composto camara atmosfera controlada mecanismos energetico composto cabecote laser temperatura pressao composto hardwares softwares gerenciamento posicao potencia laser sensoriamento responsavel medicao parametros atuacao manipula parametros fim gerencia parametros pre definidos desenvolvimento desse equipamento fusao seletiva laser possibilitara inicio fabricacao pois equipamento construido possibilitar variacao parametros fabricacao tais pressao temperatura quimica atmosfera adicionado espessura geometria camada fundida aporte termico dinamica laser propria geometria peca fabricada,0,"Projeto - Tópico 0: Dados, Analise, Energia",9,,Projeto
4,Projeto,ESTUDO E DESENVOLVIMENTO TECNOLÓGICO DE SISTEMAS GERADORES DE PLASMÓIDE POR RECONEXÃO MAGNÉTICA,Giuliano Gonçalves De Souza,,IFB,,,"O principal objetivo abordado neste trabalho, é o desenvolvimento tecnológico de geradores de plasmoide por reconexão magnética. A pesquisa será desenvolvida a partir de estudos teóricos e modelagem matemática da física envolvida, da modelagem por simulação computacional, do desenvolvimento tecnológico, fabricação e caracterização experimental dos modelos propostos. A caracterização será realizada em câmara de vácuo a partir da fusão de sensores de termografia, espectroscopia e de diagnóstico de plasma. É esperado como resultados desta pesquisa, o desenvolvimento tecnológico e a criação de linha de pesquisa para o Instituto Federal de Brasília.",,PESQUISA,,"ESTUDO E DESENVOLVIMENTO TECNOLÓGICO DE SISTEMAS GERADORES DE PLASMÓIDE POR RECONEXÃO MAGNÉTICA O principal objetivo abordado neste trabalho, é o desenvolvimento tecnológico de geradores de plasmoide por reconexão magnética. A pesquisa será desenvolvida a partir de estudos teóricos e modelagem matemática da física envolvida, da modelagem por simulação computacional, do desenvolvimento tecnológico, fabricação e caracterização experimental dos modelos propostos. A caracterização será realizada em câmara de vácuo a partir da fusão de sensores de termografia, espectroscopia e de diagnóstico de plasma. É esperado como resultados desta pesquisa, o desenvolvimento tecnológico e a criação de linha de pesquisa para o Instituto Federal de Brasília.",desenvolvimento tecnologico geradores plasmoide reconexao magnetica principal abordado neste desenvolvimento tecnologico geradores plasmoide reconexao magnetica desenvolvida estudos teoricos matematica fisica envolvida computacional desenvolvimento tecnologico fabricacao caracterizacao experimental propostos caracterizacao realizada camara vacuo fusao sensores termografia espectroscopia diagnostico plasma esperado resultados desta desenvolvimento tecnologico criacao linha,1,"Projeto - Tópico 1: Desenvolvimento, Aprendizagem, Matematica",9,,Projeto
5,Projeto,Ficções do Eu: diluição sujeito-objeto e subjetividades femininas na escrita,Gandhia Vargas Brandão,,IFB,,,"Aliar a arte literária à construção e reconstrução de subjetividades femininas tanto através da investigação da obra de autoras mulheres quanto através da própria escrita autoficcional. Ao investigar a produção literária das escritoras COnceição Evaristo e Tati Bernardi, adentrar o universo da autoficção no intuito de demonstrar que o gênero em questão requer a diluição sujeito-objeto.",,PESQUISA,,"Ficções do Eu: diluição sujeito-objeto e subjetividades femininas na escrita Aliar a arte literária à construção e reconstrução de subjetividades femininas tanto através da investigação da obra de autoras mulheres quanto através da própria escrita autoficcional. Ao investigar a produção literária das escritoras COnceição Evaristo e Tati Bernardi, adentrar o universo da autoficção no intuito de demonstrar que o gênero em questão requer a diluição sujeito-objeto.",ficcoes diluicao sujeito objeto subjetividades femininas escrita aliar arte literaria construcao reconstrucao subjetividades femininas tanto investigacao obra autoras mulheres quanto propria escrita autoficcional investigar producao literaria escritoras conceicao evaristo tati bernardi adentrar universo autoficcao intuito demonstrar genero questao requer diluicao sujeito objeto,7,"Projeto - Tópico 7: Saude, Leitura, Lingua",9,,Projeto
