registro_id,tipo,titulo,autores,ano,instituicao,curso,veiculo,resumo,palavras_chaves,natureza,financiadores,texto_completo,resumo_processado,id_topico,nome_topico,n_topicos_modelo,orientador,tipo_arquivo
1,TCC,Dinâmica da Perícia Ambiental de Rio Verde - GO,Talissa Tamara Gomes,2015,IFGOIANO,Engenharia Ambiental,,,,,,Dinâmica da Perícia Ambiental de Rio Verde - GO Engenharia Ambiental,dinamica pericia ambiental verde engenharia ambiental,1,"TCC - Tópico 1: Ambiental, Residuos, Engenharia",22,Haihani Silva Passos,TCC
2,TCC,A DINÂMICA DA ESTRADA DA PRODUÇÃO NO SUDOESTE GOIANO E SUA IMPORTÂNCIA PARA  O AGRONEGÓCIO,Heitor Fonseca Queiroz Pires,2021,IFGOIANO,Agronomia,,,,,,A DINÂMICA DA ESTRADA DA PRODUÇÃO NO SUDOESTE GOIANO E SUA IMPORTÂNCIA PARA O AGRONEGÓCIO Agronomia,dinamica estrada producao sudoeste goiano importancia agronegocio agronomia,15,"TCC - Tópico 15: Geografia, Cultural, Campo",22,Haihani Silva Passos,TCC
3,TCC,"&quot;AVALIAÇÃO DA ANATOMIA FOLIAR DE GENÓTIPOS DE TOMATEIRO E SUA INFLUÊNCIA SOBRE ASPECTOS BIOLÓGICOS DE Spodoptera eridani (Cremer, 1782) (Lepidoptera:Noctuidae)&quot;",Fabrícia Sousa Silva,2019,IFGOIANO,Agronomia,,,,,,"&quot;AVALIAÇÃO DA ANATOMIA FOLIAR DE GENÓTIPOS DE TOMATEIRO E SUA INFLUÊNCIA SOBRE ASPECTOS BIOLÓGICOS DE Spodoptera eridani (Cremer, 1782) (Lepidoptera:Noctuidae)&quot; Agronomia",quot anatomia foliar genotipos tomateiro influencia biologicos spodoptera eridani cremer lepidoptera noctuidae quot agronomia,19,"TCC - Tópico 19: Design, Agronomia, Soja",22,Daline Benites Bottega,TCC
4,TCC,"EFEITO DE ÓLEO ESSENCIAL DOS FRUTOS DE XYLOPIA AROMATICA (ANNONACEAE) SOBRE ZABROTES SUBFASCIATUS (BOHEMANN) (COLEOPTERA: CHRYSOMELIDAE, BRUCHINAE)",Thais Freitas Santos,2019,IFGOIANO,Agronomia,,,,,,"EFEITO DE ÓLEO ESSENCIAL DOS FRUTOS DE XYLOPIA AROMATICA (ANNONACEAE) SOBRE ZABROTES SUBFASCIATUS (BOHEMANN) (COLEOPTERA: CHRYSOMELIDAE, BRUCHINAE) Agronomia",efeito oleo essencial frutos xylopia aromatica annonaceae zabrotes subfasciatus bohemann coleoptera chrysomelidae bruchinae agronomia,21,"TCC - Tópico 21: Agronomia, Producao, Engenharia",22,Daline Benites Bottega,TCC
5,TCC,Impacto e Manejo da Cigarrinha do Milho (Dalbulus Maidis) na Agricultura Brasileira,Luiz Fernando De Sousa Amorim,2023,IFGOIANO,Agronomia,,,,,,Impacto e Manejo da Cigarrinha do Milho (Dalbulus Maidis) na Agricultura Brasileira Agronomia,impacto manejo cigarrinha milho dalbulus maidis agricultura agronomia,21,"TCC - Tópico 21: Agronomia, Producao, Engenharia",22,Daline Benites Bottega,TCC
